
id,user_id,history_id,project_name,description,role,start_date,end_date,HTML,CSS,JavaScript,TypeScript,Python,Ruby,PHP,Java,C#,C++,Go,Rust,Swift,Kotlin,React,Vue,Angular,Node.js,Express,Django,Flask,Rails,Laravel,Spring,.NET,AWS,Azure,GCP,Docker,Kubernetes,MySQL,PostgreSQL,MongoDB,Git,Linux,Agile,Scrum
1,1,1,スマホアプリ開発,"SNSアプリ開発
[主な担当]
ドキュメント作成
テスト実施
インフラ構築
技術検証",プログラマー,2016-11-28,,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2,1,2,医療情報システム開発,オンプレミス環境からAWSへのクラウド移行を主導しました。 新技術の調査やPoCを行い、アーキテクチャの改善提案を行いました。 バックエンドAPIの設計と実装をNode.jsやDjangoで行いました。 フロントエンドではReactやVueを用いたSPAの構築を担当しました。 自動テストの導入によりリリースサイクルを短縮しました。,技術リーダー,2016-04-17,2018-01-18,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
3,1,3,データ分析基盤の構築,アジャイル手法で開発を進め、定期的なスプリントレビューで改善を行いました。 自動テストの導入によりリリースサイクルを短縮しました。 ユーザビリティテストやA/Bテストを通じてUI/UXの改善を行いました。 オンプレミス環境からAWSへのクラウド移行を主導しました。 フロントエンドではReactやVueを用いたSPAの構築を担当しました。,QAエンジニア,2021-09-27,2022-10-04,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
4,1,4,動画配信サービス構築,"セキュリティ強化プロジェクト
[主な担当]
要件定義
パフォーマンスチューニング
リファクタリング
セキュリティ対応
データベース設計
メンバーマネジメント",フロントエンドエンジニア,2019-02-16,2020-03-25,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
5,1,5,教育向けアプリ開発,"医療情報システム開発
[主な担当]
セキュリティ対応
プログラミング
レビュー
UI/UX設計",フロントエンドエンジニア,2017-11-01,2019-10-20,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
6,2,1,セキュリティ強化プロジェクト,"業務効率化ツール開発
[主な担当]
デバッグ
UI/UX設計
テスト設計",フロントエンドエンジニア,2016-05-20,2016-09-02,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
7,2,2,スマホアプリ開発,"データ分析基盤の構築
[主な担当]
インフラ構築
運用保守
顧客折衝
ドキュメント作成
セキュリティ対応",SE,2021-10-10,2023-09-26,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
8,2,3,教育向けアプリ開発,要件定義から設計、実装、テストまで幅広く担当しました。 顧客との要件確認や仕様調整を円滑に進めました。 スクラムマスターとしてチームのファシリテーションと課題管理を行いました。,開発リーダー,2023-01-06,2024-02-04,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
9,2,4,医療情報システム開発,スクラムマスターとしてチームのファシリテーションと課題管理を行いました。 顧客との要件確認や仕様調整を円滑に進めました。 既存システムのリファクタリングやパフォーマンスチューニングを実施しました。 アジャイル手法で開発を進め、定期的なスプリントレビューで改善を行いました。 フロントエンドではReactやVueを用いたSPAの構築を担当しました。,開発リーダー,2020-06-05,2021-12-27,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
10,3,1,医療情報システム開発,バックエンドAPIの設計と実装をNode.jsやDjangoで行いました。 複数チーム間の連携調整やマネジメントを担当しました。,バックエンドエンジニア,2022-11-17,2024-03-21,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11,3,2,AIチャットボット構築,クラウド環境へのデプロイやCI/CDパイプラインの設定を経験しました。 新技術の調査やPoCを行い、アーキテクチャの改善提案を行いました。,開発リーダー,2016-04-19,2018-12-18,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
12,4,1,クラウド移行プロジェクト,バックエンドAPIの設計と実装をNode.jsやDjangoで行いました。 新技術の調査やPoCを行い、アーキテクチャの改善提案を行いました。 クラウド環境へのデプロイやCI/CDパイプラインの設定を経験しました。 データベース設計、クエリ最適化を通じて高速なデータアクセスを実現しました。,開発リーダー,2019-11-13,2020-11-07,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
13,4,2,金融系システム開発,顧客との要件確認や仕様調整を円滑に進めました。 アジャイル手法で開発を進め、定期的なスプリントレビューで改善を行いました。 スクラムマスターとしてチームのファシリテーションと課題管理を行いました。 要件定義から設計、実装、テストまで幅広く担当しました。 ユーザビリティテストやA/Bテストを通じてUI/UXの改善を行いました。,エンジニアリングマネージャ,2017-07-26,2018-04-24,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
14,4,3,SNSアプリ開発,ユーザビリティテストやA/Bテストを通じてUI/UXの改善を行いました。 オンプレミス環境からAWSへのクラウド移行を主導しました。,テクニカルリード,2018-01-22,2019-10-03,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
15,4,4,SNSアプリ開発,"既存システムの機能追加
[主な担当]
メンバーマネジメント
要件分析
データベース設計
技術検証
デバッグ
環境構築",SE,2017-03-08,,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
